0,"The best Mac and cheese I've ever had in my life. Taste of good cheese and seasoning without being over powering or bland. 

The maple lemonade is awesome because you can sweeten as much as you want with maple syrup.

Also note I am giving this five stars for southern food, and I am from Georgia!"
1,"Ok....I saw the reviews....I heard all about the experience...however, today I found out for myself. I had breakfast with my friend  who absolutely loves this place (She orders the same thing each visit, lol) so we know it must be really good! 

I really had a hard time deciding...don't judge me I've only been vegetarian for one day now! Maybe next year we can talk about a vegan menu. Just bear with me for right now! I finally decided on the French Toast with a side of fruit. I can't seem to come across the correct adjective to describe my thoughts when my fork touched my mouth. I felt transported....out of my body....the perfect combination of sweet, fulfilling, and absolutely delicious. I mean perfect. 

I'm sure I'll be a regular....no frequent....I mean borderline stalker at this place. Next time a Bloody Mary (since I hear they're amazing) and some other wonderful menu item to tickle my fancy! 

Try it.....I sincerely doubt you will be disappointed. I can also see why there would be a wait; the experience is totally worth it."
2,"They don't take reservations for breakfast or lunch, but it is totally worth the wait. We walked in on a Sunday at 11, and it was about a 45 min wait (actually 20 min shorter). We hung out at a coffee shop across the street. 

Once there, we ordered salmon eggs benny and the mother clucker. Starting with the Cajun Bloody Mary. Spicy and refreshing! The food was great! I wish I ordered the kale, but the grits were great. Our favorite breakfast spot so far in Portland!!"
3,Yum! Best waffle I've ever eaten. Latte was delicious. Eggs were cooked perfectly. We were greeted by smiling staff and waited longer for a table than we did for our food. We will definitely be back soon!
4,"Brunch time!! :) We have heard a lot about this place and we decided to try it out today. We got the corned beef hash and the waffle plate with a side of bacon. The hash was delicious - both tender and crispy with the right amount of sweetness from the carrot. The biggest surprise was the waffle; Hot Suppa has somehow perfected the art of a ""crispy"" waffle! The service was great and we're looking forward to another breakfast here soon :)"
5,"I live in a pretty foodie location where we throw around terms like farm-to-table and locavore like it's discussing the day's weather. 

I was told Portland has an amazing food scene and it did not disappoint. 

That said, there were a couple of places that stood out the most above the others; this was one of them.

We came here for Sunday early breakfast before heading back to VT. We were shocked to see how many enthusiastic early morning diners there were and that there was already a 35 minute wait at 9am. Not to worry-we like great food enough to chill and wait our turn for some amazing grub.

The hostess was super nice and made sure my s.o. and others had coffee while we waited. A couple of chairs opened up at the bar and we were glad to take them when offered. Willie G, our server and bartender du jour was great. When he wasn't mixing up drinks for the servers and serving food to other bar guests, he took the time for a friendly chat. 

As we knew we had along drive and the menu just looked too good to behave, we ordered a smoked salmon eggs benedict for me, a canadian bacon one for him, and we split a breakfast special: banana brad french toast with bananas, chocolate syrup, whipped cream and powered sugar. Um yeah, we were being piggies, but it was so worth it.

I also ordered a mimosa, which came in a large pint glass generously filled with champagne and then a nice dose of OJ. I got a hot chocolate as well which came in a large handled mug with whipped cream. Both were fantastic. 

The eggs...now, I am fairly an aficionado of eggs benedict. So when I say these were hands down the best I have ever eaten, it's no joke. The Hollandaise was so light and airy with a touch of lemon and a teensy hint of heat that I could have ordered just that and bread to dip in. The smoked salmon was of a very high quality. Seriously good eats. The s.o. said the same.

The banana bread french toast was to die for. We took half of it home to not overindulge and to allow a proper second tasting.

It was pricey breakfast, but well worth it IMO. I have no issue shelling out money for excellent food and service. 

I'm sure we will visit his family again here, so I definitely want to come back here for lunch and dinner in the future. 

It's a restaurant to put on your list to visit when in town."
6,"Visited from out of state. This may have been my favorite restaurant.

Limited seating, so we lucked out and got in at the right time.

Went during happy hour. $1 Otter Cover oysters. Delicious. Served with lemon and a spicy cocktail sauce. 

The corn chowder with shrimp was excellent.

Wait staff was polite.

Must try when in Portland!"
7,"Early on this summer, we made a stop here as a family and chose to sit out back on the 'patio/back deack/rear yard' sort of situation downtown Portland is known for trying to have. 

With 2 kids under age 3, it seemed better to have both high chairs outside as the interior seems quite small. On a weekend during brunch, it is rather quickly crowded and it was a nice enough day.

The prices were on the higher end of what I consider a nicer brunch...so 10-15 per person with more elaborate or specialized dishes only found during brunch or as daily offerings.

If we go bacck as a date night, we will try other items and sit inside, but the hours of operation are a touch odd and make it a lower on the list option."
8,"Great, but busy spot in the West End of Portland.  I've been coming to Hot Suppa for years, and for some reason my visits aren't frequent, but every time I go back I wonder why I've stayed away for so long.  

Three of us visited on a Monday afternoon. The wait was short, maybe 15 mins, despite it being summer.  We were seated and promptly greeted.  

We ordered a round of drinks, I had the Cajun bloody which was spicy and awesome. The garnish is pickled green beans, okra, and olive. A total flavor sensation.  My partner and friend had mimosas, which came in a pint glass... score!  

Our food was phenomenal.  The Cubano sandwich and the Mother Clucker were decadent and SO filling.  The Mother Clucker is an open faced chicken on a biscuit as gravy with fresh green onions on the gravy.  We also had a red/green burrito and a side of fried green tomatoes. Those were Oh So good.

After this experience, I won't make may next visit as far in the future as I did before, I'm storing Hot Suppa in my memory bank."
9,"I had heard a lot about this restaurant and was excited to try it. Unfortunately, our first impression wasn't great as the hostess wasn't the friendliest to us. The wait was close to an hour which was fine as it was Saturday brunch and they don't take reservations. We were offered to sit outside in the rain since tables were moving faster there. The hostess gave us menus and utensils wrapped in napkins. It seemed like they were understaffed but it would have been nice if someone had shown us the way to our table. 

Our waitress was very nice. We ordered the French toast and French styled omelette. It was a very good omelette and I liked the fillings that were available. I upgraded to the cornbread and wow was it good and thick. We enjoyed our meal but the hospitality in the beginning wasn't great. This is a restaurant that if we were to come back to the area, we would like to give it another try and write a better review in the future."
