0,"WOW. Street & Co is certainly the spot for romantics! It's cozy, and I love that the kitchen has an open concept. It feels like you have your own personal chefs for the night. 

We ordered the Lobster Diavolo, which comes with a whole lobster split in half, tons of clams, mussels, a sprinkle of squid all served on top of a bed of pasta with flavorful, spicy tomato sauce. IT WAS AH-MAZING. I can't even. When I moved to Maine, THIS WAS EXACTLY what I was looking for when I envisioned seafood galore! 

Also, they serve unlimited butter and bread!"
1,"We ordered oysters while waiting for dinner, which were served quickly and were fresh and delicious. The bread and butter, and our appetizers of yellowfin tuna and artic char Pate were also great (also the char has a slight bitter taste, fyi). 

All of this made us so excited for dinner. We ordered blackened char and the scallops pernod. And when they came out, our eyes were bright and our mouths were watering. But then we tasted the food and it was just overpowering with saltiness. Everything was wayyyy or a bit too salty. We scraped all the seasoning off the artic char and it was still too salty. Not to mention the greens. A bummer, since we were so excited to visit this spot from out of town. 

The service was also great. We were just disappointed by the main event. Maybe we ordered the wrong thing...

We told them and they took one of our entrees off the tab. Wow. What a great restaurant and great servers. We'll definitely try again."
2,"If you're visiting Portland, you absolutely have to come here. If you aren't able to snag a reservation, make sure to show up early - around 4:45 - to get a table or seat at the bar which is full service. 

Their oysters come with the most amazing mignonette sauce you'll ever have and the lobster fra diavolo for two is incredible. HUGE portion - a whole lobster, baby octopus, calamari, mussels, and clams on top of linguine. 

You'll definitely be walking away happy and with leftovers!"
3,"Great oysters selection and phenomenal grilled lobster over linguini.
Highly recommend this restaurant!"
4,"Absolutely fabulous meal! Was able to snag a reservation while visiting Portland on OpenTable and so glad we did! Cozy little place, with great service, good wine and amazing food! We had the grilled lobster linguine which was to die for, and also the scallops. The lobster linguine definitely took the cake. Scallops were so so. Overall though, would highly recommend and will be back when in Portland."
5,"Great atmosphere, service and food! The Lobster Diavolo is probably the best pasta dish that I have ever had. The local Bangs Island Mussels and grilled octopus were amazing! This is a place that I would really like to bring our out of town guests to. My wife and I loved it and will definitely be back!"
6,"This review is from Thursday, Oct 18, 2018.

How fortunate we were to have this restaurant in walking distance of our hotel.  The valet recommended this location and show did my cell recommendations.  We couldn't find a park, so we drove our car back to the hotel and took a walk.  This place was packed.  The people we were in line behind, said they had reservations, we did not.  We were seated in the bar area and spoke to a couple who currently reside in Colorado, but stated that they have been to this restaurant many times because they love it.  He went on to state that he got reservations the moment they were opened up. Ok.  This place should be good.  Long lines, reservations and a wonderful aroma.

We ended up waiting about thirty minutes for our table, but it was so worth it.  Our order was put in right away and we nibbled on some of their bread while we waited for our meal.

The Grilled Lobster on Linguine, Butter and Garlic was superb.  This meal was well worth the $39.95.  Please see the picture showing how I devoured it.  My dinner mate opted for the ahi tuna with broccolini in a pesto sauce and some roasted red potatoes.  I don't do raw fish (just slightly cooked on the outside and raw in the inside), so I can't say how her fish tasted (she really enjoyed it), but the broccolini was delicious.  It just had a hint of pesto and lemon.  Very tasty.  

Here's What I Think...I want to go back to Maine, just so I can enjoy this meal again."
7,"We almost decided to go somewhere else when we found out the wait for 4 was a hour on Sunday night, but I'm so glad we decided trust Yelp this time! They had their lobster diavalo since the pictures from others looks so epic, and I can confirm it is indeed epic! The pasta was super tasty, the seafood in it had so much flavor, and if was massive! Definitely the thing to order for a hungry group. 
We also got the garlic shrimp pasta, which was heavenly and tasted amazing, definitely recommended. The pasta with scallops and affredo sauce was not too good though, it's on the heavy side with way too much cream and cheese, but that's what it is supposed to be so can't complain there, should have gotten their pan seared scallop dish instead."
8,"When in Maine... one must eat lobster!?! This restaurant is hidden away in a cobblestone alleyway. The lines are quite long, and it took us an hour to get in for dinner without a reservation. It was worth it. Inside, it looks like a food cellar in colonial times with all the vegetables hanging from the celings.

For the food, I split a bunch of dishes with my friends since the serving sizes are quite large. The lobster bread pudding for an appetizer was so rich and definitely a pleasant surprise. Typically, I thought bread puddings were supposed to be sweet desserts. This was really well balanced and there are chunks of lobster that, combined with the vegetables, cheese, and bread pudding, made for a really good mouth feel that was packed with flavor.

The main dish was the lobster diavolo for 2. Technically, I probably could have eaten this type of dish in Boston at some place supposedly called Giacomo's. I'll have to update my review when I actually go there to compare. The sauce is really good, which is a tomato based sauce that probably has white wine and herbs. It has all the juices of the mussels, lobsters, clams, and calamari. There is so much pasta beneath the seafood. If you have the stomach for it, make sure to order extra bread to dip into the sauce! To be honest, for normal people, this dish could probably be split with 3-4 people.

Our other friends got some pastas and we ended up trading some of our dish to get theirs. One was the Scallops in Pernod and Cream pasta, and it comes inside the pan they cook it in?!? The white sauce is really delicious, and the scallops are tender and quite big. I think I stole a lot of those..heheh. The other pasta was the Shrimp with Butter and Garlic linguine. This dish was also quite good, but I didn't have time to eat much because it disappeared so fast. It's very buttery, and the shrimps were pretty fresh. Again, the sauce is so good on all of these pastas that you just have to soak it up in bread, gluten-free critics and low carb diets be damned.

Somehow we made room for dessert. On our way to the tables, I could see the pies sitting out in the kitchen and they looked so good. Maine is probably famous for blueberries, but I decided to get a pecan pie, They heat it up in the oven and you can get it with a scoop of vanilla ice cream on the side. Really decadent way to close out the probably 100000 calorie meal we just consumed. 

The service here is excellent, and they even give you warm towels with lemon if you eat any of the lobsters since it can get messy cracking open the shells."
9,"Follow the wisdom of the crowds here and just get the Lobster Fra Diavolo for two. Trust me.

The other dishes are solid and don't quite justify the price point, but all that is forgiven again by how excellent the Fra Diavolo is both in price and in quality.

But oh yeah, don't skip dessert. The bourbon pecan pie was one of the most balanced takes on the sweet I've had to date- not overly sweet or gloopy. Do yourself a favor and add a scoop of ice cream to round it all out."
