,name, rating,restaurant_id,price,address,latitude,longitude,category
0,street-&-co.,4.5,rJsGrKPoRHcGadwy0F1lzA,3,"['33 Wharf St', 'Portland, ME 04101']",43.6558679491282,-70.2540271729231,"American (New), Seafood, Mediterranean, "
1,eventide-oyster-company,4.5,4pLOc-hETcvopT20h_6A9w,2,"['86 Middle St', 'Portland, ME 04101']",43.65943,-70.25123,"Seafood, "
2,duckfat,4.5,HdQr2QayY8pZAHM8fiG0mw,2,"['43 Middle St', 'Portland, ME 04101']",43.660206085231295,-70.2503810791679,"American (New), "
3,central-provisions,4.5,GWKSvuvNHOoz1WfxTqwIMg,2,"['414 Fore St', 'Portland, ME 04101']",43.656028000000006,-70.253784,"Bars, Cocktail Bars, Tapas/Small Plates, "
4,the-highroller-lobster,4.5,GwMI5lBjDk_NlDF-PqFt8w,2,"['104 Exchange St', 'Portland, ME 04101']",43.658296,-70.256064,"Seafood, Food Stands, "
5,fore-street,4.0,pT259QLwg1Pr16BCert1eA,3,"['288 Fore St', 'Portland, ME 04101']",43.6581161918639,-70.2509852828992,"American (New), Seafood, "
6,hot-suppa,4.5,e87pfRcCANJ5HLd8KwByvA,2,"['703 Congress St', 'Portland, ME 04102']",43.653044924140005,-70.2684836089611,"Breakfast & Brunch, American (Traditional), Comfort Food, "
7,the-independent-ice,5.0,_tDe0ZVh3M1OflgWxf6eAA,0,"['52 Wharf St', 'Portland, ME 04101']",43.6554619,-70.254479,"Bars, Cocktail Bars, Restaurants, Whiskey Bars, "
8,the-thirsty-pig,4.0,8D39iKzQXQqDofh0Xx9dxQ,2,"['37 Exchange St', 'Portland, ME 04101']",43.657146000000004,-70.25403179999999,"American (Traditional), Bars, Beer, Wine & Spirits, "
9,isa,4.5,EVGkegIGDO91k2q7WHadxQ,2,"['79 Portland St', 'Portland, ME 04101']",43.65808,-70.26494,"Breakfast & Brunch, American (Traditional), Salad, "
10,scales,4.0,tEQCE_cnOAhQZ791XCkVtQ,3,"['68 Commercial St', 'Portland, ME 04101']",43.65735,-70.25003000000001,"American (New), Seafood, "
11,the-honey-paw,4.0,VNzSaud6CO3LoYqQy7tFXQ,2,"['78 Middle St', 'Portland, ME 04101']",43.6595876703614,-70.2510230719194,"American (New), Asian Fusion, Noodles, "
12,bird-&-co,4.5,P7wDmf3vR2G69ixWPod3MQ,0,"['539 Deering Ave', 'Portland, ME 04103']",43.67037,-70.28425,"Tacos, "
13,piccolo,4.5,hEPLzr2qI6d3Uu7jOtBpbg,3,"['111 Middle St', 'Portland, ME 04101']",43.659059,-70.25243,"Italian, "
14,the-local-press,4.5,o6eNk3CerBBQl5XzdHCbVQ,1,"['276 Woodford St', 'Portland, ME 04103']",43.6698903047194,-70.2905887008589,"Sandwiches, Soup, "
15,the-north-point,4.0,3HocNabPJCD42qWFDFQk8w,2,"['35 Silver St', 'Portland, ME 04101']",43.657406877838405,-70.2527466382673,"American (New), Lounges, "
16,evo-kitchen-+-bar,4.5,ZZS0B3NFxrzse9VvDFmOdQ,3,"['443 Fore St', 'Portland, ME 04101']",43.655859899999996,-70.25503990000001,"Bars, Vegetarian, Mediterranean, Wine Bars, "
17,maiz-colombian-street-food,5.0,jKt-rcyPhHuyBRHKp84axw,0,"['621 Forest Ave', 'Portland, ME 04101']",43.6703,-70.28307,"Colombian, "
18,mash-tun,4.5,1iCe-Wpqn2huOZR8souLqA,2,"['29 Wharf St', 'Portland, ME 04101']",43.655846142385705,-70.2539712498444,"Burgers, Breweries, "
19,bao-bao-dumpling-house,4.0,p3P063twC78ZQxR7pf8TnQ,2,"['133 Spring St', 'Portland, ME 04101']",43.65263,-70.26295,"Bars, Chinese, "
20,boda,4.5,dzuAplfW1er3D8Z5aDcV3w,2,"['671 Congress St', 'Portland, ME 04101']",43.6533299,-70.26658990000001,"Thai, Tapas/Small Plates, "
21,union,4.0,XyUA6Yt9AYcbEs1WYd_aDg,2,"['390 Congress St', 'Portland, ME 04101']",43.659032700000004,-70.25651540000001,"Breakfast & Brunch, American (New), Seafood, "
22,sur-lie,4.5,FNN-Cf4ME4u1Nkp5D4Swxg,2,"['11 Free St', 'Portland, ME 04101']",43.6567972,-70.2575073,"American (New), Bars, Tapas Bars, "
23,back-bay-grill,4.5,NJPjX_xStmMDm3vSiuX2aA,3,"['65 Portland St', 'Portland, ME 04101']",43.658122,-70.264636,"American (Traditional), French, "
24,blyth-&-burrows,4.5,XpJOKW-Fhi2D2Uua9Sj5SQ,2,"['26 Exchange St', 'Portland, ME 04101']",43.65702,-70.25409,"Bars, Cocktail Bars, Tapas Bars, "
25,cheevitdee,5.0,7EqhGWR7dNw_xtav3DokRQ,2,"['363 Fore St', 'Portland, ME 04101']",43.656781,-70.252728,"Bars, Thai, "
26,the-great-lost-bear,4.0,L76QknW3NI8KmIXvTq8XBA,2,"['540 Forest Ave', 'Portland, ME 04101']",43.668059899999996,-70.28028990000001,"American (Traditional), Bars, Vegetarian, "
27,empire-chinese-kitchen,4.5,D1eBBfWnx2w1BkKVogChng,2,"['575 Congress St', 'Portland, ME 04101']",43.654899597168,-70.2625198364258,"Bars, Cantonese, Dim Sum, "
28,paciarino,4.0,LuzEPoDRJEpSMrqlr_sCPQ,2,"['470 Fore St', 'Portland, ME 04101']",43.6552735,-70.25566540000001,"Italian, "
29,tomaso's-canteen,4.5,Kz7pJX-T8EXpVhT1G9Lu4Q,2,"['18 Hampshire St', 'Portland, ME 04101']",43.65987701898721,-70.2514609694481,"American (Traditional), Bars, "
30,po'-boys-&-pickles,4.5,7k_zkBLB2AGcq3ueSrz1AA,2,"['1124 Forest Ave', 'Portland, ME 04103']",43.68568,-70.29243000000001,"Sandwiches, Seafood, Cajun/Creole, "
31,the-treehouse,4.0,UxKZfzzKavvaP3h4d5-VOg,2,"['484 Stevens Ave', 'Portland, ME 04103']",43.6749186,-70.2952933,"Mediterranean, Lounges, Greek, "
32,izakaya-minato,4.5,E3rxBAdXny4cqy21xDN_9A,2,"['54 Washington Ave', 'Portland, ME 04101']",43.665095,-70.252187,"Izakaya, "
33,local-188,4.0,YIZHbnnY8TMp7P1RPE8uaw,2,"['685 Congress St', 'Portland, ME 04102']",43.65348,-70.26738,"Breakfast & Brunch, American (Traditional), Spanish, "
34,n-to-tail,4.0,msvjyjb9XQkb3dXgqcs5WA,0,"['29 Exchange St', 'Portland, ME 04101']",43.6571442348565,-70.2538747022831,"Barbeque, Korean, "
35,luis's-arepera-and-grill,4.5,rqKPuHlp8G-QLmZUa0n-ig,1,"['948 Forest Ave', 'Portland, ME 04103']",43.68002,-70.28924,"Gluten-Free, Venezuelan, "
36,the-green-elephant,4.5,bDQwF87UDdCdL788rLLxFQ,2,"['608 Congress St', 'Portland, ME 04101']",43.65368,-70.26344,"Vegetarian, Asian Fusion, Vegan, "
37,taco-escobarr,4.0,ZXAgknN0Vazfjb6mifcHdA,2,"['548 Congress St', 'Portland, ME 04101']",43.6553325,-70.2615689,"Mexican, "
38,marcy's-diner,4.5,Wz1vLIYnStNYr9ZrXjQVdA,1,"['47 Oak St', 'Portland, ME 04101']",43.6550091209133,-70.26129159023479,"Breakfast & Brunch, American (Traditional), Diners, "
39,chaval,4.5,YsYYtyCOqdz-ytbL7rJd8A,3,"['58 Pine St', 'Portland, ME 04102']",43.650951488627996,-70.2686837718971,"Bars, Cocktail Bars, French, Spanish, "
40,terlingua,4.5,I1aETEsRcnnEftQvLwzzNA,2,"['52 Washington Ave', 'Portland, ME 04101']",43.6649178,-70.25208620000001,"Bars, Barbeque, Latin American, "
41,salvage-bbq,4.0,CyB_DXtSBWHJ1MYpSnhSwA,2,"['919 Congress St', 'Portland, ME 04102']",43.6541489,-70.277989,"Barbeque, "
42,east-ender,4.0,KZ1Tkyso2j4iN98NQ6kJBQ,2,"['47 Middle St', 'Portland, ME 04101']",43.6602592468262,-70.2504806518555,"American (New), Bars, "
